id,total_rating,total_rating_count
1070,96,1952
1068,90,1674
1565,89,189
3953,89,52
6710,87,108
13620,87,40
8246,86,114
39496,86,39
26801,86,28
1244,85,549
884,85,189
1555,85,31
358,84,1287
3192,84,618
1243,84,197
2195,84,112
1235,84,61
17249,84,45
13679,84,41
20586,84,32
3186,83,373
1404,83,277
8247,83,126
4614,83,80
1563,83,77
4238,83,71
1408,82,198
1653,82,193
1407,82,178
1249,82,128
6807,82,104
7452,82,92
7758,82,81
125764,82,71
5368,82,70
13095,82,31
7788,82,30
6920,82,29
6351,81,125
4595,81,111
6704,81,81
6703,81,78
6817,81,74
15428,81,69
18814,81,41
7235,81,38
11222,81,34
3147,81,34
1045,81,30
1716,80,198
1655,80,146
2630,80,131
3816,80,116
4596,80,96
6468,80,70
10605,80,65
12860,80,62
15540,80,56
5650,80,55
7038,80,50
1411,80,49
51448,80,37
19986,80,37
20803,80,35
11179,80,34
17477,80,27
1114,79,337
2750,79,264
3490,79,187
2159,79,155
18840,79,141
1333,79,132
6490,79,131
7558,79,124
1238,79,120
3585,79,106
4370,79,93
4603,79,53
11445,79,49
6076,79,43
4167,79,39
3846,79,38
6439,79,37
11613,79,32
9155,79,27
3601,78,173
6790,78,78
16214,78,73
1388,78,72
109277,78,42
18696,78,35
4405,78,33
10253,78,32
9141,78,27
1067,77,545
1619,77,323
1618,77,290
1652,77,211
1247,77,180
1547,77,60
